id;nume
36ad6114-82a6-4c41-a025-0a5c28adcb4b;minus athwart
3950f93d-e20a-4a77-bd34-4abc4e419b7e;generally
48697485-50b9-4bf3-97a5-7d80c5f9c600;yuck
c27f2fea-eea9-4fea-9aa0-66e665372725;yowza regarding hm
60849137-26cf-4802-8845-aa2b29b47e76;uh-huh peppery
3e67bd4c-0404-4167-bea9-f5fce6e05a73;near thunder ah
43c9c0f4-500c-457c-9bac-19c8b7545344;show excitedly
5e604880-d69b-4ca3-9444-4104d0fa4445;so gently because
e8f93cac-25d3-4e48-95c1-a5d9fc16691f;oddly
e6dd0b73-05ca-42f0-ba0d-9d838478ac08;babble
