id;procedura;factura;denumire;lot;data_achizitionare;data_expirare;dilutie;timp_contact;metoda_aplicare;gramaj;cantitate;companie_id
112ed4fc-40f4-4587-bc56-21d936b3743f;DERATIZARE;dictator kitchen;faithful cleverly pleasing;constant;2024-02-05;2024-02-05;fooey which be;7476;boo hm partially;15228;16249;26fe079c-7a1b-42b0-8315-772bb2ec33a6
2ec5cfe0-27c5-4032-80de-d605894242a5;DEZINSECTIE;yippee past;pacify gargantuan busy;sugary;2024-02-04;2024-02-05;mint yowza;25260;assemble;26517;18654;10a4cfaf-a373-4c80-882e-080b3d278a20
767420f0-d4cc-48e2-9de8-92671347104a;DEZINFECTIE;carefree even;evil;busily advance;2024-02-05;2024-02-05;after incubation once;320;incidentally for;29346;3269;44544f3d-314b-4e9b-9ba7-5f26df39ca57
b6bf449c-3131-4136-9647-f53089197bbf;DEZINFECTIE;more meanwhile;inasmuch mature;subject scale enlightened;2024-02-04;2024-02-05;afore an down;26240;unethically because apropos;15491;18393;59e3aa55-7cb3-4d54-a180-66f7efac70f5
50a7ea5a-938d-4b55-a376-1005874fda5c;DEZINFECTIE;gee;ordinary;edible;2024-02-05;2024-02-05;domesticate;8492;wherever transport;10335;2621;51b9321c-a6bb-475f-aeca-ad26d2b30a79
58df5510-ad68-42e9-9397-ffad2263cdf2;DERATIZARE;warlike vivacious;till;tough;2024-02-05;2024-02-04;careful;28609;backfire;28860;23837;0efd6915-4bde-46ce-8987-e1f797bc1475
385c806b-d758-4f0b-9ff3-62d4bf18c7bd;DERATIZARE;debunk hmph surprisingly;towards can porpoise;gratefully;2024-02-05;2024-02-05;sidetrack made-up;21760;misfile shady prelude;13527;881;646ad0df-24a6-4fc3-9015-0ef250d89aa6
b05f234d-ee42-4caa-88e3-53936bb9a400;DEZINFECTIE;wilted;questionably;divide yippee;2024-02-05;2024-02-05;add;570;sesame alongside;17164;32341;e19c6172-8854-47e4-b65d-d8e99f25ebfa
484d18fb-f61c-40c8-9230-0b71f9e178ad;DEZINFECTIE;key aha e-book;ha oh wary;silly gosh wholly;2024-02-04;2024-02-05;meanwhile;12300;youthful;29007;4474;839c8d0a-7bfc-42fa-a49e-4fc071856be0
234e9b03-91ac-4251-bf92-d51a927e220c;DERATIZARE;while;once ha;bathrobe snuffle drat;2024-02-05;2024-02-05;councilor vain;31901;for subconscious;21779;29353;0653db91-ca82-48ec-b0f7-b7644031f22b
